Band #,Development,Site Banded,Nest# Banded,Nest Recipient,Nest Origin,Date,Julain Date,experimental?,Treatment Reared,Age (days),Sex,Brood#,Clutch Size Origin,Brood Size Reared,swapped?,Kid#,RWL,Tot. Mass,Cone,Net Mass,Mites?,D?,D No.,Plasma?,Feather?,Mother-Recipient,Mother-RecipientCort,Father-Recipient,Father-RecipientCort,Mother-Origin,Mother-OriginCort,Father-Origin,Father-OriginCort,Biol Mom,Biol MomCort,Biol Dad,Biol DadCort,Social Dad Genetic?,Fate,Notes,Plasma Date, Plasma Julain Date,Approach Time,Basline Time,StandardApproachTime,Latency Time,Latency Num,Stress Time,Elapsed Time,Elasped Num,[Baseline]  (ng/ml) ,ln [Baseline] ,[Stress] (ng/ml) ,ln [Stress] ,[Stress Response] (ng/ml),ln [Stress Response],Bird,date,patch,total.bright,avg.bright,hue,chrom
2391-83546,N,Autumn Hill,45,AUTH45,FISH1,6/21/2010,172,Y,increase,12,F,1,5,4,Y,1,44.0,21.00,4.00,17.00,N,Y,10-239,Y,Y,2540-44674,y,2540-44629,y,2540-44593,y,2540-44680,y,2540-44593,y,2540-44680,y,Y,fledged,,6/21/2010,172,16:05:16,16:07:20,16.0878,0:02:04,2.067,16:20:49,0:15:33,15.550,6.584520,1.884721,29.522320,3.385147,22.937800,3.132786,239183546,62110,N,47569.35733,23.820409,615.4266667,0.430493311
2391-83548,N,Autumn Hill,45,AUTH45,AUTH45,6/21/2010,172,Y,increase,12,F,1,4,4,N,3,40.0,18.50,4.00,14.50,N,Y,10-241,Y,Y,2540-44674,y,2540-44629,y,2540-44674,y,2540-44629,y,2540-44674,y,2540-44773,n,N,fledged,,6/21/2010,172,16:05:16,16:07:13,16.0878,0:01:57,1.950,,,,3.796780,1.334153,,,,,239183548,62110,N,63862.755,31.979347,622.1266667,0.391592236
2391-83549,N,Autumn Hill,45,AUTH45,AUTH45,6/21/2010,172,Y,increase,12,M,1,4,4,N,4,44.0,20.50,4.00,16.50,N,Y,10-242,Y,Y,2540-44674,y,2540-44629,y,2540-44674,y,2540-44629,y,2540-44674,y,2540-44629,y,Y,fledged,,6/21/2010,172,16:05:16,16:06:37,16.0878,0:01:21,1.350,16:22:33,0:17:17,17.283,3.057380,1.117558,45.994180,3.828515,42.936800,3.759729,239183549,62110,N,33186.723,16.618289,688.1133333,0.414800123
2391-83600,N,Autumn Hill,84,AUTH84,AUTH84,7/6/2010,187,Y,control,12,M,1,3,3,N,1,52.0,20.50,2.00,18.50,N,Y,10-053,Y,Y,2540-98766,y,2540-98754,y,2540-98766,y,2540-98754,y,2540-98766,y,2540-98754,y,Y,fledged,,7/6/2010,187,12:39:37,12:40:39,12.6603,0:01:02,1.033,12:55:04,0:15:27,15.450,5.274960,1.662971,42.896600,3.758793,37.621640,3.627579,239183600,70610,N,58230.77033,29.159124,640.7433333,0.416338434
2511-04701,N,Autumn Hill,84,AUTH84,AUTH84,7/6/2010,187,Y,control,12,M,1,3,3,N,2,57.5,20.50,2.00,18.50,N,Y,10-054,Y,Y,2540-98766,y,2540-98754,y,2540-98766,y,2540-98754,y,2540-98766,y,2540-98754,y,Y,fledged,,7/6/2010,187,12:39:37,12:40:56,12.6603,0:01:19,1.317,12:56:17,0:16:40,16.667,2.076940,0.730896,32.930680,3.494405,30.853740,3.429258,251104701,70610,N,67920.832,34.011433,585.0966667,0.37613485
2511-04702,N,Autumn Hill,84,AUTH84,AUTH84,7/6/2010,187,Y,control,12,M,1,3,3,N,3,53.0,21.75,2.25,19.50,N,Y,10-055,Y,Y,2540-98766,y,2540-98754,y,2540-98766,y,2540-98754,y,2540-98766,y,2540-98754,y,Y,fledged,,7/6/2010,187,12:39:37,12:41:41,12.6603,0:02:04,2.067,12:55:30,0:15:53,15.883,3.840800,1.345681,31.190520,3.440114,27.349720,3.308706,251104702,70610,N,32002.12767,16.025101,609.7333333,0.419111871
2391-90818,N,Autumn Hill,87,AUTH87,AUTH87,7/11/2010,192,Y,increase,12,M,1,4,5,N,3,51.5,19.25,2.00,17.25,N,Y,10-056,Y,Y,2540-44631,y,2540-98742,y,2540-44631,y,2540-98742,y,2540-44631,y,,n,N,fledged,,7/11/2010,192,12:24:13,12:25:51,12.4036,0:01:38,1.633,12:42:42,0:18:29,18.483,0.922240,-0.080950,28.055020,3.334168,27.132780,3.300743,239190818,71110,N,69807.72333,34.956296,646.0633333,0.393664028
2391-90819,N,Autumn Hill,87,AUTH87,AUTH87,7/11/2010,192,Y,increase,12,M,1,4,5,N,4,52.0,19.00,2.00,17.00,N,Y,10-057,Y,Y,2540-44631,y,2540-98742,y,2540-44631,y,2540-98742,y,2540-44631,y,2540-98742,y,Y,fledged,,7/11/2010,192,12:24:13,12:25:59,12.4036,0:01:46,1.767,12:40:08,0:15:55,15.917,3.431600,1.233027,35.787640,3.577603,32.356040,3.476801,239190819,71110,N,40556.016,20.308471,669.3633333,0.438574216
2391-90820,N,Autumn Hill,87,AUTH87,AUTH87,7/11/2010,192,Y,increase,12,M,1,4,5,N,5,53.0,20.75,2.00,18.75,N,Y,10-058,Y,Y,2540-44631,y,2540-98742,y,2540-44631,y,2540-98742,y,2540-44631,y,,n,N,fledged,,7/11/2010,192,12:24:13,12:26:36,12.4036,0:02:23,2.383,12:42:07,0:17:54,17.900,3.310320,1.197045,21.199180,3.053963,17.888860,2.884178,239190820,71110,N,40490.45667,20.275642,658.41,0.451389786
2511-04713,N,Autumn Hill,89,AUTH89,AUTH89,7/17/2010,198,Y,decrease,12,M,1,5,2,N,1,34.0,11.50,2.25,9.25,N,Y,10-061,Y,Y,2540-44768,y,2540-46098,y,2540-44768,y,2540-46098,y,2540-44768,y,2540-46086,y,N,died on 7/18,"decreased by 2 chicks, was labeled incorrectly as 2511-83713, but date/location correct and not a real combitio",7/17/2010,198,10:25:50,10:26:50,10.4306,0:01:00,1.000,10:39:50,0:14:00,14.000,5.970000,1.786747,16.450360,2.800347,10.480360,2.349503,251104713,71710,N,60919.233,30.505375,632.3933333,0.410205197
2511-04714,N,Autumn Hill,89,AUTH89,AUTH89,7/17/2010,198,Y,decrease,12,F,1,5,2,N,2,52.0,16.00,2.25,13.75,N,Y,10-062,Y,Y,2540-44768,y,2540-46098,y,2540-44768,y,2540-46098,y,2540-44768,y,2540-46098,y,Y,died on 7/18, ,7/17/2010,198,10:25:50,10:26:55,10.4306,0:01:05,1.083,10:40:05,0:14:15,14.250,3.240740,1.175802,9.199620,2.219162,5.958880,1.784883,251104714,71710,N,28426.25467,14.234479,610.3966667,0.450327923
2391-84037,N,Blue Cloud,18,BLCL18,BLCL18,7/6/2010,187,Y,control,12,,1,5,4,N,1,52.0,17.75,2.00,15.75,N,Y,10-065,Y,Y,2600-27235,y,2600-27236,y,2600-27235,y,2600-27236,y,2600-27235,y,2540-98610,n,N,fledged,,7/6/2010,187,15:35:48,15:36:55,15.5967,0:01:07,1.117,15:54:31,0:18:43,18.717,6.680860,1.899247,19.990820,2.995273,13.309960,2.588513,239184037,70610,N,41665.77133,20.864182,627.46,0.402374921
2391-84038,N,Blue Cloud,18,BLCL18,BLCL18,7/6/2010,187,Y,control,12,M,1,5,4,N,2,46.0,15.50,2.00,13.50,N,Y,10-066,Y,Y,2600-27235,y,2600-27236,y,2600-27235,y,2600-27236,y,2600-27235,y,2600-27236,y,Y,fledged,,7/6/2010,187,15:35:48,15:37:40,15.5967,0:01:52,1.867,15:51:32,0:15:44,15.733,14.299100,2.660197,19.864820,2.988950,5.565720,1.716626,239184038,70610,N,59748.93433,29.919346,643.75,0.396829292
